Model,Dataset,Test_Env,Test_Accuracy,Final_Train_Accuracy,Training_Time,Total_Parameters,Architecture
resnet18,ColoredMNIST,0,0.493143053055627,0.4973213903055758,26.13461923599243,11174402,RESNET18
selfattentionresnet18,ColoredMNIST,0,0.4952001371389389,0.4950285004071487,30.82077980041504,11959926,Self-Attention ResNet18
resnet18,ColoredMNIST,1,0.4773925341790597,0.5013607045663959,27.105943202972412,11174402,RESNET18
selfattentionresnet18,ColoredMNIST,1,0.49200702867183815,0.49649645359676003,33.91230773925781,11959926,Self-Attention ResNet18
resnet18,ColoredMNIST,2,0.1002014314490207,0.849058221012707,26.602290391921997,11174402,RESNET18
selfattentionresnet18,ColoredMNIST,2,0.4963356619380277,0.49638931150491783,32.254780769348145,11959926,Self-Attention ResNet18
