timestamp,epoch,train_loss,train_accuracy,test_loss,test_accuracy,test_env_0_accuracy
20250528_210414,1,0.6448090211465966,0.6222517464535208,0.6270560610980673,0.6997514356732665,0.6997514356732665
20250528_210414,2,0.584517885701676,0.7280246860669438,0.6025278134612371,0.7266649524299306,0.7266649524299306
20250528_212125,1,0.6931070243659084,0.5083463689545075,0.6931983393349059,0.5038786268375263,0.5038786268375263
20250528_212125,2,0.6931356724810926,0.5055392461482417,0.6931210984922436,0.5038786268375263,0.5038786268375263
20250528_213823,1,1.1532451162297117,0.5763724948515747,1.5368682581870283,0.4406640705062513,0.4406640705062513
20250528_214027,1,0.6448090211465966,0.6222517464535208,0.6270560610980673,0.6997514356732665,0.6997514356732665
20250528_214056,1,0.6929940676035946,0.5097929970428149,0.7284820935497546,0.0990828833461901,0.0990828833461901
20250528_214140,1,0.6933739779745577,0.5007928684695495,0.6930948374531218,0.5074569298020056,0.5074569298020056
20250528_214209,1,0.6933164332827476,0.5037500535721939,0.6930331808246978,0.5074569298020056,0.5074569298020056
20250528_214253,1,0.6931942472766736,0.5054749608931365,0.6931250475301083,0.5038786268375263,0.5038786268375263
20250528_214322,1,0.6931070243659084,0.5083463689545075,0.6931983393349059,0.5038786268375263,0.5038786268375263
20250528_214406,1,0.6933090938248807,0.5048321083420833,0.693120286144403,0.5038786268375263,0.5038786268375263
20250528_214435,1,0.6932716305941752,0.5047249662502411,0.6931685510563523,0.5038786268375263,0.5038786268375263
