Model,Dataset,Test_Env,Test_Accuracy,Final_Train_Accuracy,Training_Time,Total_Parameters,Architecture
resnet18,ColoredMNIST,0,0.5022285077569212,0.5039214845926371,26.310307502746582,11174402,RESNET18
selfattentionresnet18,ColoredMNIST,0,0.49790005999828574,0.4935713367333819,31.150264263153076,11959926,Self-Attention ResNet18
resnet18,ColoredMNIST,1,0.4824497492821326,0.5030749780358712,26.92155909538269,11174402,RESNET18
selfattentionresnet18,ColoredMNIST,1,0.4970213860198003,0.49701073563760256,33.84353232383728,11959926,Self-Attention ResNet18
resnet18,ColoredMNIST,2,0.1008442977756825,0.8348083227976943,27.17162537574768,11174402,RESNET18
selfattentionresnet18,ColoredMNIST,2,0.4909784425491793,0.49458932436196884,33.436641216278076,11959926,Self-Attention ResNet18
