Model,Dataset,Test_Env,Test_Accuracy,Final_Train_Accuracy,Training_Time,Total_Parameters,Architecture
resnet18,ColoredMNIST,0,0.499871432244793,0.5006214374491064,26.6496102809906,11174402,RESNET18
selfattentionresnet18,ColoredMNIST,0,0.4936144681580526,0.4953070758153688,31.27509570121765,11959926,Self-Attention ResNet18
resnet18,ColoredMNIST,1,0.4908498692838469,0.49641073992328627,27.80681538581848,11174402,RESNET18
selfattentionresnet18,ColoredMNIST,1,0.4950070715295933,0.4941393275762316,34.56146717071533,11959926,Self-Attention ResNet18
resnet18,ColoredMNIST,2,0.10705867226674667,0.8219298433582617,27.109421491622925,11174402,RESNET18
selfattentionresnet18,ColoredMNIST,2,0.49213560193717054,0.4917393447189663,33.24535584449768,11959926,Self-Attention ResNet18
