Model,Dataset,Test_Env,Test_Accuracy,Final_Train_Accuracy,Training_Time,Total_Parameters,Architecture
resnet18,ColoredMNIST,0,0.49305734121882233,0.5067715253075044,14.116373062133789,11174402,RESNET18
selfattentionresnet18,ColoredMNIST,0,0.4911288248907174,0.49245703510050143,16.554625034332275,11959926,Self-Attention ResNet18
resnet18,ColoredMNIST,1,0.48939270561008014,0.5071892343626117,13.820555448532104,11174402,RESNET18
selfattentionresnet18,ColoredMNIST,1,0.4953070758153688,0.49763215977028735,16.92162585258484,11959926,Self-Attention ResNet18
resnet18,ColoredMNIST,2,0.5087215531650452,0.777744444682538,13.850977897644043,11174402,RESNET18
selfattentionresnet18,ColoredMNIST,2,0.49547850683581196,0.49531789058649583,16.762076139450073,11959926,Self-Attention ResNet18
