Model,Dataset,Test_Env,Test_Accuracy,Final_Train_Accuracy,Training_Time,Total_Parameters,Architecture
resnet18,ColoredMNIST,0,0.5026999228593468,0.5157716538807697,26.384357929229736,11174402,RESNET18
selfattentionresnet18,ColoredMNIST,0,0.4912145367275221,0.4979642566322376,30.10371160507202,11959926,Self-Attention ResNet18
resnet18,ColoredMNIST,1,0.47893541336304807,0.4993464332397626,25.77734875679016,11174402,RESNET18
selfattentionresnet18,ColoredMNIST,1,0.5001071443877769,0.4935393318619153,32.30937361717224,11959926,Self-Attention ResNet18
resnet18,ColoredMNIST,2,0.10127287532679038,0.810208498510725,26.306623935699463,11174402,RESNET18
selfattentionresnet18,ColoredMNIST,2,0.49346419234560496,0.4935393318619153,32.20556616783142,11959926,Self-Attention ResNet18
