Model,Dataset,Test_Env,Test_Accuracy,Final_Train_Accuracy,Training_Time,Total_Parameters,Architecture
selfattentionresnet18,ColoredMNIST,0,0.7441073112196794,1.0,6173.295876264572,11959926,Self-Attention ResNet18
resnet18,ColoredMNIST,0,0.3167480929116311,1.0,4645.605274915695,11174402,RESNET18
selfattentionresnet18,ColoredMNIST,1,0.4463635194788497,0.9993357190305784,6091.374638795853,11959926,Self-Attention ResNet18
resnet18,ColoredMNIST,1,0.610508721553165,1.0,4650.736926794052,11174402,RESNET18
selfattentionresnet18,ColoredMNIST,2,0.2928470406720096,1.0,6092.078545093536,11959926,Self-Attention ResNet18
resnet18,ColoredMNIST,2,0.28577551107872967,1.0,4656.344305515289,11174402,RESNET18
