Model,Dataset,Test_Env,Test_Accuracy,Final_Train_Accuracy,Training_Time,Total_Parameters,Architecture
resnet18,ColoredMNIST,0,0.5052284220450844,0.5075429648994986,26.481326818466187,11174402,RESNET18
selfattentionresnet18,ColoredMNIST,0,0.48598611468243763,0.495971371019586,31.044918537139893,11959926,Self-Attention ResNet18
resnet18,ColoredMNIST,1,0.5160073715338791,0.49218934150470356,26.933746337890625,11174402,RESNET18
selfattentionresnet18,ColoredMNIST,1,0.4925641794882784,0.4962821694130756,33.33486866950989,11959926,Self-Attention ResNet18
resnet18,ColoredMNIST,2,0.10903012900184289,0.8466796665738102,26.62225103378296,11174402,RESNET18
selfattentionresnet18,ColoredMNIST,2,0.4929498992842755,0.49064649538217586,32.511791706085205,11959926,Self-Attention ResNet18
