Model,Dataset,Test_Env,Test_Accuracy,Final_Train_Accuracy,Training_Time,Total_Parameters,Architecture
resnet34,ColoredMNIST,0,0.7490785977543499,0.5524364633780483,52.21460008621216,21282562,RESNET34
selfattentionresnet34,ColoredMNIST,0,0.6055541270249422,0.5515150216431663,64.04324007034302,22068086,Self-Attention ResNet34
resnet34,ColoredMNIST,1,0.5063215188788411,0.5061178134441897,53.90505886077881,21282562,RESNET34
selfattentionresnet34,ColoredMNIST,1,0.4945356362233746,0.5029892643623974,64.6298816204071,22068086,Self-Attention ResNet34
resnet34,ColoredMNIST,2,0.09762996614237346,0.8459939571860201,53.95185899734497,21282562,RESNET34
selfattentionresnet34,ColoredMNIST,2,0.09844426348947842,0.8435296890736494,65.32016468048096,22068086,Self-Attention ResNet34
