Model,Dataset,Test_Env,Test_Accuracy,Final_Train_Accuracy,Training_Time,Total_Parameters,Architecture
selfattentionresnet50,ColoredMNIST,0,0.38008914031027685,0.9997214245917799,11253.000254154205,36051398,Self-Attention ResNet50
resnet50,ColoredMNIST,0,0.6267249507156938,0.9999357133673338,9459.566032409668,23508994,RESNET50
selfattentionresnet50,ColoredMNIST,1,0.7630823297475678,0.9999785715816316,11336.94302892685,36051398,Self-Attention ResNet50
resnet50,ColoredMNIST,1,0.3076329661852312,0.9972571624488397,9450.760022163391,23508994,RESNET50
selfattentionresnet50,ColoredMNIST,2,0.3066900955727939,1.0,11354.563806295395,36051398,Self-Attention ResNet50
resnet50,ColoredMNIST,2,0.29216131659023703,1.0,9454.511440753937,23508994,RESNET50
