Model,Dataset,Test_Env,Test_Accuracy,Final_Train_Accuracy,Training_Time,Total_Parameters,Architecture
resnet18,ColoredMNIST,0,0.23193623039341732,0.518835983371191,13.677294492721558,11174402,RESNET18
selfattentionresnet18,ColoredMNIST,0,0.4925859261163967,0.49412848754982214,16.11622142791748,11959926,Self-Attention ResNet18
resnet18,ColoredMNIST,1,0.5048214974499635,0.49491075063749546,13.8590087890625,11174402,RESNET18
selfattentionresnet18,ColoredMNIST,1,0.4980071143873484,0.49557503160691707,17.688859939575195,11959926,Self-Attention ResNet18
resnet18,ColoredMNIST,2,0.15544507778682554,0.7772087342233269,13.904645681381226,11174402,RESNET18
selfattentionresnet18,ColoredMNIST,2,0.4976213945913513,0.5070178070156641,17.070461988449097,11959926,Self-Attention ResNet18
