Model,Dataset,Test_Env,Test_Accuracy,Final_Train_Accuracy,Training_Time,Total_Parameters,Architecture
resnet34,ColoredMNIST,0,0.4363589611725379,0.9971285304075772,7253.449134349823,21282562,RESNET34
selfattentionresnet34,ColoredMNIST,0,0.5090854547012943,0.504242917755968,7812.40038394928,22068086,Self-Attention ResNet34
resnet34,ColoredMNIST,1,0.3969913855912227,0.899629288362226,7252.082006216049,21282562,RESNET34
selfattentionresnet34,ColoredMNIST,1,0.4953070758153688,0.4907750658923865,7851.346831560135,22068086,Self-Attention ResNet34
resnet34,ColoredMNIST,2,0.28731839026271805,0.9999785715816316,7250.223500490189,21282562,RESNET34
selfattentionresnet34,ColoredMNIST,2,0.5052500750010714,0.4876893736473311,7822.906029462814,22068086,Self-Attention ResNet34
