timestamp,epoch,train_loss,train_accuracy,test_loss,test_accuracy,test_env_0_accuracy
20250608_112202,1,1.0035252924499616,0.5036964021685559,1.3229551445590995,0.3356619380276861,0.3356619380276861
20250608_112202,2,0.810427026507633,0.49677502303554977,0.6930973744783245,0.5074786782668324,0.5074786782668324
20250608_112202,3,0.7246054621016393,0.5009964214541325,1.3198493725615121,0.49367848112115886,0.49367848112115886
20250608_112202,4,0.7164214382080433,0.5026678380868708,0.6944412175423461,0.49543564908070115,0.49543564908070115
20250608_112202,5,0.7031209704980173,0.5059463860972422,0.6996539156945025,0.5128787554107915,0.5128787554107915
20250608_112202,6,0.6959326900745351,0.5047463946686095,0.6980271762837478,0.4927784682638323,0.4927784682638323
20250608_112202,7,0.6950798438546436,0.4971821629845501,0.6981323325568861,0.5053357905112931,0.5053357905112931
20250608_112202,8,0.6943953659365086,0.5013821329847644,0.6995244967481478,0.5048214974499635,0.5048214974499635
20250608_112202,9,0.6953329015624979,0.49958214584181543,0.6939415573422375,0.49642137744824927,0.49642137744824927
20250608_112202,10,0.6941230073978341,0.5021106992092914,0.7246658433981932,0.4956499378562551,0.4956499378562551
20250608_112202,11,0.69622796676198,0.5033749758930294,0.6930733323097229,0.5074786782668324,0.5074786782668324
20250608_112202,12,0.7070826322980266,0.5164463110977778,0.7186795101791131,0.41276303947199244,0.41276303947199244
20250608_112202,13,0.7099484688923007,0.5996314312040628,0.6364730912479547,0.6660952299318562,0.6660952299318562
20250608_112202,14,0.6313994479635374,0.6939164720251998,0.6007457424382694,0.710667295247075,0.710667295247075
20250608_112202,15,0.5929228327964824,0.72070199498575,0.5510899431067087,0.7363819483135473,0.7363819483135473
20250608_112202,16,0.5538380508784388,0.7470589495789316,0.6704013842702563,0.6627951827883255,0.6627951827883255
20250608_112202,17,0.38756921398835104,0.8512867765230249,0.837453616447136,0.5151930741867741,0.5151930741867741
20250608_112202,18,0.32377296022541535,0.8851008207084236,0.7698207758163493,0.4889212703038615,0.4889212703038615
20250608_112202,19,0.31435307793197087,0.8879722287697945,0.47288839673735406,0.7724681781168302,0.7724681781168302
20250608_112202,20,0.30601002996573684,0.8914650609638503,0.47686190520479377,0.798311404448635,0.798311404448635
20250608_112202,21,0.33237306639307834,0.8781580131570489,1.0272288605815074,0.21776025371791025,0.21776025371791025
20250608_112202,22,0.29734797999669943,0.8941864700966422,0.48506183865291824,0.7965970942442034,0.7965970942442034
20250608_112202,23,0.3021462109408092,0.8928579081577989,1.0458437487727306,0.20610294432777612,0.20610294432777612
20250608_112202,24,0.31705145932774725,0.8852936764737395,0.8737926701378953,0.4578493978485407,0.4578493978485407
20250608_112202,25,0.3009991411710046,0.8921293419332719,0.9663793701943153,0.4308490121287447,0.4308490121287447
20250608_112202,26,0.3084379853120918,0.8903936400454282,0.5138488858123946,0.7955685081215446,0.7955685081215446
20250608_112202,27,0.2913360587560414,0.8953221762701695,0.49752919302612053,0.7759825140359148,0.7759825140359148
20250608_112202,28,0.29439641779563464,0.8942293269333791,0.47053745437840944,0.7978399691424163,0.7978399691424163
20250608_112202,29,0.2994741880909993,0.8925150534639038,0.48421189433238543,0.7635966228088973,0.7635966228088973
20250608_112202,30,0.3113561170837267,0.8850793922900551,0.5326657510194622,0.7984828354690782,0.7984828354690782
20250608_112202,31,0.33294432817912495,0.8749437504017828,0.536031949552682,0.7593965628080401,0.7593965628080401
20250608_112202,32,0.30720668933430656,0.8876293740758995,0.8504544952528073,0.5079072558179403,0.5079072558179403
20250608_112202,33,0.2904550422980486,0.8966293097906444,0.7182744454816391,0.5271075301075729,0.5271075301075729
20250608_112202,34,0.30505914615640223,0.8896436454025328,0.6057126945485183,0.7984399777139674,0.7984399777139674
20250608_112202,35,0.3082997605123155,0.8867079520860566,0.9570767074986234,0.29841854883641195,0.29841854883641195
20250608_112202,36,0.3069634479903133,0.8898365011678488,0.6530259476333368,0.6945956370805297,0.6945956370805297
20250608_112202,37,0.3000116719167089,0.8913579188720081,0.8127918627744164,0.5178931127587537,0.5178931127587537
20250608_112202,38,0.29576762452151606,0.8924507682087985,0.7293067186907992,0.4994214203060044,0.4994214203060044
20250608_112202,39,0.30934905944789043,0.8854008185655817,0.9392155799709383,0.27544679209702994,0.27544679209702994
20250608_112202,40,0.2921241370380902,0.8943793258619581,1.0343627555122792,0.39729138987699825,0.39729138987699825
20250608_112202,41,0.30320564067103173,0.8876508024942679,0.835806878863788,0.4563493764196631,0.4563493764196631
