Model,Dataset,Test_Env,Test_Accuracy,Final_Train_Accuracy,Training_Time,Total_Parameters,Architecture
selfattentionresnet18,ColoredMNIST,0,0.790091711665381,1.0,6174.117373228073,11959926,Self-Attention ResNet18
resnet18,ColoredMNIST,0,0.6916516670952259,0.9998285689795569,4710.111300468445,11174402,RESNET18
selfattentionresnet18,ColoredMNIST,1,0.5724938927698967,1.0,6190.466416597366,11959926,Self-Attention ResNet18
resnet18,ColoredMNIST,1,0.7323533193331333,1.0,4715.505256652832,11174402,RESNET18
selfattentionresnet18,ColoredMNIST,2,0.3119615994514207,1.0,6194.001441955566,11959926,Self-Attention ResNet18
resnet18,ColoredMNIST,2,0.28860412291604165,1.0,4720.6273057460785,11174402,RESNET18
