Model,Dataset,Test_Env,Test_Accuracy,Final_Train_Accuracy,Training_Time,Total_Parameters,Architecture
resnet18,ColoredMNIST,0,0.5063855318419473,0.49792139887712683,26.518039226531982,11174402,RESNET18
selfattentionresnet18,ColoredMNIST,0,0.49202879917716635,0.49455706510093,32.02165508270264,11959926,Self-Attention ResNet18
resnet18,ColoredMNIST,1,0.47310675866798096,0.49979643002549984,27.28477931022644,11174402,RESNET18
selfattentionresnet18,ColoredMNIST,1,0.4975356790811297,0.4965393104334969,33.88796520233154,11959926,Self-Attention ResNet18
resnet18,ColoredMNIST,2,0.1197874255346505,0.8478796580024428,27.33332395553589,11174402,RESNET18
selfattentionresnet18,ColoredMNIST,2,0.49603565765225216,0.49330361925986244,33.07525372505188,11959926,Self-Attention ResNet18
