Model,Dataset,Test_Env,Test_Accuracy,Final_Train_Accuracy,Training_Time,Total_Parameters,Architecture
resnet18,ColoredMNIST,0,0.16216679523442187,0.5187716967385249,26.180071592330933,11174402,RESNET18
selfattentionresnet18,ColoredMNIST,0,0.492243078769178,0.49474992499892856,30.21860647201538,11959926,Self-Attention ResNet18
resnet18,ColoredMNIST,1,0.7452535036214804,0.5095035035464033,25.994508981704712,11174402,RESNET18
selfattentionresnet18,ColoredMNIST,1,0.49436420520293145,0.48959650288212225,32.16046977043152,11959926,Self-Attention ResNet18
resnet18,ColoredMNIST,2,0.11138730553293619,0.844236826879808,26.27852964401245,11174402,RESNET18
selfattentionresnet18,ColoredMNIST,2,0.5000214288775554,0.4923179120149142,32.235780477523804,11959926,Self-Attention ResNet18
